INFO 2025-06-10 17:22:11,403 autoreload Watching for file changes with StatReloader
INFO 2025-06-10 17:51:47,044 autoreload /app/project/settings.py changed, reloading.
INFO 2025-06-10 17:52:33,377 autoreload Watching for file changes with StatReloader
INFO 2025-06-10 18:01:43,399 autoreload /app/core/models.py changed, reloading.
INFO 2025-06-10 18:02:00,279 autoreload Watching for file changes with StatReloader
INFO 2025-06-10 18:06:50,282 autoreload /app/core/serializers.py changed, reloading.
INFO 2025-06-10 18:08:52,662 autoreload Watching for file changes with StatReloader
INFO 2025-06-10 18:13:02,366 autoreload Watching for file changes with StatReloader
INFO 2025-06-10 19:42:21,633 autoreload Watching for file changes with StatReloader
INFO 2025-06-10 19:46:18,425 autoreload /app/core/serializers.py changed, reloading.
INFO 2025-06-10 19:46:33,955 autoreload Watching for file changes with StatReloader
INFO 2025-06-10 19:49:33,677 basehttp "GET /charges/ HTTP/1.1" 200 7298
WARNING 2025-06-10 19:49:33,775 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-06-10 19:49:33,778 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 5230
INFO 2025-06-10 19:49:34,226 basehttp "GET /api/charges/ HTTP/1.1" 200 1964
INFO 2025-06-10 19:49:38,544 basehttp "GET /new_charges/ HTTP/1.1" 200 10293
WARNING 2025-06-10 19:49:38,612 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-06-10 19:49:38,619 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 5230
INFO 2025-06-10 19:49:38,624 basehttp "GET /static/js/phone-mask.js HTTP/1.1" 304 0
INFO 2025-06-10 19:49:38,629 basehttp "GET /static/js/value-mask.js HTTP/1.1" 304 0
INFO 2025-06-10 19:50:00,473 basehttp "GET /new_charges/?name=teste&phone=%2821%29+21211-2121&email=gui%40mgaa.com&total_amount=R%24+500.00&description=sem&due_date=1985-08-15&installment_count=1&whatsapp_authorized=on HTTP/1.1" 200 10293
WARNING 2025-06-10 19:50:00,527 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-06-10 19:50:00,533 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 5230
INFO 2025-06-10 19:50:12,453 basehttp "GET /new_charges/?name=teste&phone=%2821%29+21211-2121&email=gui%40mgaa.com&total_amount=R%24+500.00&description=sem&due_date=1985-08-15&installment_count=1&whatsapp_authorized=on HTTP/1.1" 200 10293
WARNING 2025-06-10 19:50:12,487 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-06-10 19:50:12,493 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 5230
INFO 2025-06-10 19:50:12,636 basehttp "GET /new_charges/?name=teste&phone=%2821%29+21211-2121&email=gui%40mgaa.com&total_amount=R%24+500.00&description=sem&due_date=1985-08-15&installment_count=1&whatsapp_authorized=on HTTP/1.1" 200 10293
WARNING 2025-06-10 19:50:12,673 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-06-10 19:50:12,676 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 5230
INFO 2025-06-10 19:50:12,767 basehttp "GET /new_charges/?name=teste&phone=%2821%29+21211-2121&email=gui%40mgaa.com&total_amount=R%24+500.00&description=sem&due_date=1985-08-15&installment_count=1&whatsapp_authorized=on HTTP/1.1" 200 10293
WARNING 2025-06-10 19:50:12,804 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-06-10 19:50:12,808 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 5230
